Entity,Emissions per kilogram,Land use per kilogram,Eutrophication per kilogram,Water scarcity per kilogram,Water withdrawals per kilogram,biodiversity_kg
Salmon,10.41258147,4.747958369,57.76319111,13113.2553,1360.675371,103.6109714
Salmon fishcakes,6.505734658,3.360536633,35.13801747,12596.0774,1074.929426,76.49048046
Sausage rolls,5.8495493,7.839798643,33.48887201,27457.92351,779.4442136,178.271733
Shepherd's pie,7.737124814,11.04638827,8.490628,2672.638691,74.28052877,146.229889
Shortbread biscuits,2.223782583,3.07293,11.52211762,9510.628867,514.0502987,108.7454475
Sourdough bread,0.851167274,2.371923045,5.415048953,8694.920464,248.6501555,36.03072702
Soy desert,1.087264404,1.979015256,6.153635044,2670.49205,289.2642604,156.0862406
Soy milk,0.893107838,0.873694846,2.753377991,685.684425,50.47613663,38.29720476
Soy yoghurt,0.496019817,1.023812544,3.602947614,3004.152486,196.3660236,19.00707799
Spaghetti,1.646014947,3.814946261,11.09912453,13985.70508,500.9899481,40.47192561
Spaghetti bolognese,7.83470288,15.15967888,96.66471189,20838.93658,844.7613338,303.1126838
Spinach,1.009127945,0.992293889,2.568620746,11379.19348,269.9605127,16.6553934
Sponge cake,1.877448378,2.395599504,9.037613948,9002.760913,487.885532,87.80619553
Steak pie,7.10186367,14.10315367,91.04132639,17743.36035,727.7406384,281.133379
Strawberries,3.241715,3.44723,3.8288125,12006.4285,349.2011275,75.101395
Strawberry jam,2.596662555,2.968536573,13.64931655,15682.25204,949.7015982,80.79864532
Sugar,1.851685668,2.153669373,17.23021813,11123.74633,1202.390047,73.75056324
Sunflower oil,3.661397214,19.46126711,88.05763412,1279.489583,23.19377139,623.5043686
Sunflower seeds,1.934424113,10.97975301,49.43456512,812.8472519,14.26395734,357.7331151
Sweetcorn,0.971203478,2.082797162,4.068735271,7993.130957,157.235026,10.93874663
Tea,17.62104352,23.65968258,66.70887755,2563.342054,62.43539688,2573.813742
Tofu,1.020865457,3.034817173,5.546511617,1032.445943,31.18334196,31.93161775
Tomato ketchup,2.609794212,1.667763273,10.31409548,9008.075734,494.9507034,26.75075783
Tomatoes,2.271515456,0.889018343,6.023792183,4959.105278,291.6650237,5.929593678
Tortilla wraps,0.948583667,2.256112806,5.00320215,8711.003174,231.8360278,40.10366479
Tuna,13.07535491,5.521839814,61.55072599,38556.18244,3771.402306,121.0597326
Vegan pizza,1.948103649,2.046217394,9.8024241,10612.18494,293.8913808,54.187524
Vegetable lasagne,3.37614065,4.149298442,11.85133039,11075.30218,382.9941138,187.728745
Ale,1.429290817,3.4693256,6.719541133,5549.590148,152.4829968,165.9837198
Ale,1.309165034,2.27506398,7.350095032,13161.3997,374.7971273,43.36592469
Almond butter,5.23297572,6.520732043,20.0536206,14237.87038,579.2531133,307.7756232
Almond milk,2.416307779,11.87585183,18.74297968,160556.4361,3458.072291,260.9751143
Almonds,0.96940275,1.0098785,13.1226165,13528.74741,743.3134685,33.58731275
Apple juice,1.722880827,4.333115946,4.642553933,1925.669324,93.53537938,87.03381755
Apple pie,3.111810731,3.209720997,9.961395655,6595.917073,311.7499472,152.696023
